Name;RAJ2000;DEJ2000;Type1;Type2;mag1;Orb.Per;SpType2;SpType1;Incl;M1;M2
J0545+0221  ;05 45 58.3;+02 21 06;DN;UG;17.9; 0.120972;M2-3/5 ;       ;85.4; 1.140; 0.280
V1084 Her   ;16 43 45.7;+34 02 40;NL;SW;12.5; 0.120560;       ;       ;    ;      ;
J1751-2933#1;17 51 51.2;-29 33 10;NL;AM;22.3; 0.119700;       ;       ;    ;      ;
NGC 104-W8  ;00 24 10.5;-72 04 26;CV;  ;21.7; 0.119270;       ;       ;    ;      ;
HY Eri      ;05 01 46.3;-03 59 21;NL;AM;17.5; 0.118969;       ;       ;75.0; 0.450; 0.360
V351 Pup    ;08 11 38.3;-35 07 31;Na;  ;17.9; 0.118200;       ;       ;    ;      ;
V630 Sgr    ;18 08 48.4;-34 20 22;Na;SH;17.0; 0.117930;       ;       ;    ;      ;
J1741-2758  ;17 41 42.4;-27 58 30;NL;  ;19.4; 0.117860;       ;       ;    ;      ;
J2102+3359  ;21 02 01.4;+33 59 30;NL;AM;16.6; 0.117800;       ;       ;    ;      ;
V2214 Oph   ;17 12 01.6;-29 37 33;Na;  ;20.5; 0.117515;       ;       ;    ;      ;
J1432+1914  ;14 32 09.8;+19 14 04;CV;  ;18.4; 0.117400;       ;       ;    ;      ;
TU Men      ;04 41 40.7;-76 36 46;DN;SU;18.5; 0.117200;       ;       ;    ;      ;
V5627 Sgr   ;18 01 56.3;-27 22 56;DN;  ;16.1; 0.117161;       ;       ;    ;      ;
WX LMi      ;10 26 27.5;+38 45 04;NL;AM;    ; 0.115924;M4.5/5 ;       ;    ;      ;
V592 Cas    ;00 20 52.2;+55 42 17;UX;SH;12.5; 0.115063;       ;       ;    ;      ;
J1924+4459  ;19 24 10.8;+44 59 35;NL;SW;15.2; 0.114379;M/5    ;DA     ;    ;      ;
EU Lyn      ;07 52 40.5;+36 28 23;NL;AM;17.8; 0.114000;       ;       ;    ;      ;
V515 And    ;00 55 19.9;+46 12 57;NL;IP;14.3; 0.113795;       ;       ;    ;      ;
V405 Vul    ;19 53 05.0;+21 14 49;DN;SU;19.0; 0.113000;       ;       ;    ;      ;
2114-6437   ;21 18 49.9;-64 25 13;CV;  ;14.9; 0.111800;       ;       ;    ;      ;
QU Vul      ;20 26 46.0;+27 50 43;Na;  ;19.4; 0.111765;       ;       ;    ;      ;
KZ Gem      ;06 53 02.5;+16 39 59;DN;UG;16.8; 0.111220;       ;       ;    ;      ;
V597 Pup    ;08 16 18.0;-34 15 25;Na;NL;20.0; 0.111190;       ;       ;    ;      ;
V349 Pav    ;20 08 55.8;-65 27 43;NL;AM;18.0; 0.110900;       ;       ;    ;      ;
PZ Vir      ;13 24 11.6;+03 20 51;NL;AM;20.5; 0.110220;M6     ;       ;    ;      ;
CI Gem      ;06 30 05.9;+22 18 51;DN;SU;21.7; 0.110000;       ;       ;    ;      ;
CS Ind      ;21 59 54.6;-68 50 36;DN;  ;17.8; 0.110000;       ;       ;    ;      ;
J1721+44    ;17 21 00.0;+44 00 00;NL;IP;17.6; 0.110000;       ;       ;    ;      ;
J0524+4244  ;05 24 30.5;+42 44 51;NL;AM;16.5; 0.109148;       ;       ;    ;      ;
AX Cap      ;20 08 57.0;-17 16 38;DN;SU;21.5; 0.109000;       ;       ;    ;      ;
V795 Her    ;17 12 56.1;+33 31 21;NL;SH;12.7; 0.108247;       ;       ;    ;      ;
V Per       ;02 01 53.9;+56 44 04;N ;NL;18.1; 0.107123;       ;       ;    ;      ;
V2491 Cyg   ;19 43 02.0;+32 19 14;Na;IP;20.0; 0.106700;       ;       ;    ;      ;
J2039-0429  ;20 39 37.7;-04 29 08;DN;SU;19.0; 0.105722;       ;       ;    ;      ;
AP CrB      ;15 54 12.3;+27 21 52;NL;AM;17.0; 0.105462;M4/5   ;       ;    ;      ;
V654 Aur    ;07 29 10.7;+36 58 38;NL;AM;    ; 0.104000;       ;       ;    ;      ;
V434 Gem    ;07 48 13.5;+29 05 09;NL;  ;18.6; 0.104000;       ;       ;    ;      ;
J0659+2525  ;06 59 21.7;+25 25 55;CV;  ;20.5; 0.104000;       ;       ;    ;      ;
J1627+1204  ;16 27 18.5;+12 04 35;DN;SU;19.2; 0.104000;       ;       ;    ;      ;
J1908+42    ;19 08 00.0;+42 00 00;NL;IP;18.5; 0.103000;       ;       ;    ;      ;
IM Nor      ;15 39 26.5;-52 19 18;Nr;  ;19.0; 0.102600;       ;       ;    ;      ;
J1340+1513  ;13 40 52.1;+15 13 41;DN;  ;18.3; 0.102100;K2-4/5 ;       ;    ;      ;
V348 Pup    ;07 12 32.9;-36 05 40;NL;SW;15.5; 0.101839;       ;       ;81.1; 0.650; 0.200
V1363 Cyg   ;20 06 11.5;+33 42 38;DN;UG;17.6; 0.101000;       ;       ;    ;      ;
J0011-0647  ;00 11 53.1;-06 47 39;DN;UG;17.0; 0.100281;       ;K1/4-5 ;59.0; 0.650; 0.330
V1239 Her   ;17 02 13.3;+32 29 54;DN;SU;17.4; 0.100082;M1.5/5 ;       ;82.6; 0.910; 0.220
J1543-5227  ;15 43 05.5;-52 27 10;NL;AM;16.8; 0.100000;       ;       ;    ;      ;
J1753-2921  ;17 53 10.0;-29 21 21;DN;SU;18.6; 0.100000;       ;       ;    ;      ;
J0859+0536  ;08 59 09.2;+05 36 55;NL;AM;15.6; 0.099860;       ;       ;    ;      ;
MN Dra      ;20 23 38.3;+64 36 27;DN;SU;19.2; 0.099800;       ;       ;    ;      ;
J1619+0319  ;16 19 53.3;+03 19 09;DN;  ;17.3; 0.099401;       ;       ;    ;      ;
V351 UMa    ;12 44 26.3;+61 35 15;CV;  ;18.8; 0.099200;       ;       ;    ;      ;
V1006 Cyg   ;19 48 47.2;+57 09 22;DN;SU;17.8; 0.099030;       ;       ;    ;      ;
J1751-2929#2;17 51 31.6;-29 29 56;NL;AM;23.1; 0.098800;       ;       ;    ;      ;
NGC 104-W71 ;00 24 10.6;-72 05 16;CV;  ;20.9; 0.098770;       ;       ;    ;      ;
J1128-3448  ;11 28 15.4;-34 48 08;DN;SU;18.0; 0.098500;       ;       ;    ;      ;
J1830+1233  ;18 30 01.8;+12 33 48;DN;SU;16.7; 0.098022;       ;       ;    ;      ;
NY Ser      ;15 13 02.3;+23 15 08;DN;SU;18.7; 0.097800;       ;       ;    ;      ;
DD Cir      ;14 23 23.5;-69 08 45;Na;IP;20.0; 0.097460;       ;       ;79.0;      ;
QS Tel      ;19 38 35.7;-46 12 57;NL;AM;15.2; 0.097187;M4.5/5 ;       ;    ;      ;
J1749+1913  ;17 49 02.1;+19 13 30;DN;SU;20.3; 0.097000;       ;       ;    ;      ;
J0625-0247  ;06 25 01.7;-02 47 59;DN;SU;20.1; 0.096000;       ;       ;    ;      ;
J0814+0907  ;08 14 08.4;+09 07 59;DN;SU;20.7; 0.096000;       ;       ;    ;      ;
V516 Pup    ;08 03 45.5;-47 48 45;NL;AM;16.2; 0.095200;       ;       ;    ;      ;
DV Sco      ;16 50 27.9;-28 07 59;DN;SU;18.4; 0.095000;       ;       ;    ;      ;
J0648+0656  ;06 48 33.5;+06 56 23;DN;SU;18.5; 0.095000;       ;       ;    ;      ;
V444 Peg    ;21 37 01.8;+07 14 46;DN;SU;19.4; 0.094700;       ;       ;    ;      ;
J1425+1515  ;14 25 48.1;+15 15 01;DN;SU;21.8; 0.094000;       ;       ;    ;      ;
V725 Aql    ;19 56 45.1;+10 49 32;DN;SU;19.3; 0.093900;       ;       ;    ;      ;
KT Eri      ;04 47 54.2;-10 10 43;Na;Nr;14.5; 0.093800;       ;       ;    ;      ;
J0038+2509  ;00 38 27.0;+25 09 25;DN;SU;18.7; 0.093800;       ;       ;    ;      ;
J0750+1411  ;07 51 00.0;+14 11 50;DN;  ;18.8; 0.093165;       ;       ;74.6;      ;
V381 Vel    ;10 16 58.9;-41 03 45;NL;AM;    ; 0.093100;M4.5/5:;       ;    ;      ;
V1189 Her   ;16 29 36.5;+26 35 20;NL;AM;18.8; 0.093000;       ;       ;    ;      ;
J0153+3408  ;01 53 21.5;+34 08 56;DN;SU;21.1; 0.093000;       ;       ;    ;      ;
J0446+4857  ;04 46 33.7;+48 57 56;DN;SU;18.1; 0.093000;       ;       ;    ;      ;
J1200-1526  ;12 00 52.9;-15 26 21;DN;SU;18.3; 0.093000;       ;       ;    ;      ;
J1847+5300  ;18 47 02.6;+53 00 31;DN;SU;    ; 0.093000;       ;       ;    ;      ;
J2147+2445  ;21 47 38.4;+24 45 54;DN;SU;18.4; 0.092730;       ;       ;    ;      ;
UW Pic      ;05 31 35.6;-46 24 06;NL;AM;16.4; 0.092640;M4.5/5 ;       ;    ;      ;
J1503-2207  ;15 03 54.0;-22 07 11;NL;AM;16.4; 0.092620;       ;       ;    ;      ;
AD Men      ;06 04 30.9;-71 25 23;DN;SU;15.5; 0.092200;       ;       ;    ;      ;
J1536+3328  ;15 36 34.4;+33 28 52;DN;SU;19.2; 0.092100;       ;       ;    ;      ;
J1333+1437  ;13 33 09.2;+14 37 07;NL;AM;18.5; 0.092000;       ;       ;    ;      ;
J2054-1940  ;20 54 08.2;-19 40 27;DN;SU;20.3; 0.092000;       ;       ;    ;      ;
J1625+1203  ;16 25 20.3;+12 03 09;DN;SU;18.5; 0.091433;M/5    ;       ;    ;      ;
J0846+3115  ;08 46 16.9;+31 15 55;DN;SU;21.8; 0.091380;       ;       ;    ;      ;
HU Leo      ;09 24 44.5;+08 01 51;NL;AM;19.3; 0.091141;M2/5   ;       ;    ;      ;
J1316-1513  ;13 16 25.7;-15 13 13;DN;SU;20.5; 0.091000;       ;       ;    ;      ;
V589 Her    ;16 22 07.2;+19 22 36;DN;SU;17.5; 0.090500;       ;       ;    ;      ;
GV Psc      ;01 13 06.7;+21 52 51;DN;SU;20.5; 0.090000;       ;       ;    ;      ;
J2218+1925  ;22 18 32.7;+19 25 21;NL;AM;17.9; 0.090000;       ;       ;45.0; 0.970;
J2242-1945  ;22 42 58.0;-19 45 52;DN;SU;19.7; 0.090000;       ;       ;    ;      ;
UV Gem      ;06 38 44.1;+18 16 11;DN;SU;18.8; 0.089500;       ;       ;    ;      ;
MT Dra      ;18 46 58.9;+55 38 29;NL;AM;20.0; 0.089387;       ;       ;    ;      ;
BT CrB      ;15 56 56.9;+35 23 37;DN;  ;18.9; 0.089200;       ;       ;    ;      ;
GX Cas      ;00 49 01.5;+56 52 45;DN;SU;18.5; 0.089000;       ;       ;    ;      ;
J0259+4457  ;02 59 38.3;+44 57 05;DN;SU;21.3; 0.089000;       ;       ;    ;      ;
V1258 Cen   ;13 00 29.1;-30 52 57;DN;SU;18.0; 0.088941;       ;       ;86.3; 0.740; 0.180
J2234+0041  ;22 34 39.9;+00 41 27;DN;  ;18.3; 0.088400;       ;       ;    ;      ;
GZ Cnc      ;09 15 51.7;+09 00 50;DN;SU;15.4; 0.088100;       ;       ;    ;      ;
J2234-0355  ;22 34 18.4;-03 55 30;DN;SU;21.0; 0.088100;       ;       ;    ;      ;
J0637-2541  ;06 37 47.5;-25 41 20;DN;SU;19.6; 0.088000;       ;       ;    ;      ;
J0939+6956  ;09 39 55.7;+69 56 46;DN;SU;20.5; 0.088000;       ;       ;    ;      ;
J1557+1807  ;15 57 20.7;+18 07 20;DN;  ;18.7; 0.088000;       ;       ;    ;      ;
J1623+7826  ;16 23 23.4;+78 26 03;DN;SU;19.1; 0.088000;       ;       ;    ;      ;
V344 Lyr    ;18 44 39.2;+43 22 28;DN;SU;19.5; 0.087904;       ;       ;    ;      ;
UZ For      ;03 35 28.6;-25 44 23;NL;AM;15.5; 0.087865;M4.5/5 ;       ;81.0; 0.440;
J0738+2855  ;07 38 17.8;+28 55 20;CV;  ;19.6; 0.087500;       ;       ;    ;      ;
J0325-0814  ;03 25 39.4;-08 14 43;NL;AM;14.5; 0.087193;M2-5/5 ;       ;    ;      ;
EU Cnc      ;08 51 27.2;+11 46 57;NL;AM;20.1; 0.087100;M5/5   ;       ;    ; 0.680;
J0723+5050  ;07 23 12.7;+50 50 08;DN;SU;19.0; 0.087051;       ;       ;    ;      ;
IR Com      ;12 39 32.0;+21 08 06;DN;  ;16.9; 0.087039;M6-7/5 ;DA     ;75.0; 0.980; 0.180
J0038+7921  ;00 38 37.5;+79 21 37;DN;SU;19.2; 0.087000;       ;       ;    ;      ;
J2126+2538  ;21 26 24.2;+25 38 27;DN;SU;19.3; 0.087000;       ;       ;    ;      ;
J2212+1601  ;22 12 32.0;+16 01 40;DN;SU;20.3; 0.087000;       ;       ;    ;      ;
J1331-3155  ;13 31 35.2;-31 55 41;NL;AM;    ; 0.086839;       ;       ;    ;      ;
HU Aqr      ;21 07 58.3;-05 17 39;NL;AM;14.5; 0.086820;M4/5   ;       ;87.0; 0.800; 0.180
YZ Cnc      ;08 10 56.6;+28 08 34;DN;SU;15.0; 0.086800;       ;       ;38.0; 0.820; 0.170
J1740-2847  ;17 40 09.1;-28 47 26;NL;IP;18.4; 0.086800;       ;       ;    ;      ;
J0614-2725  ;06 14 51.7;-27 25 35;NL;AM;    ; 0.086600;       ;       ;    ;      ;
J1743-0429  ;17 43 20.3;-04 29 57;NL;AM;15.1; 0.086600;       ;       ;    ;      ;
V419 Lyr    ;19 10 13.9;+29 06 14;DN;SU;18.0; 0.086400;       ;       ;    ;      ;
J0009-1210  ;00 09 38.2;-12 10 16;DN;SU;19.9; 0.086200;       ;       ;    ;      ;
J1751-2929#1;17 51 29.1;-29 29 24;NL;AM;22.2; 0.086200;       ;       ;    ;      ;
V823 Cyg    ;20 01 49.3;+36 07 24;DN;SU;18.9; 0.086000;       ;       ;    ;      ;
J0039+2713  ;00 39 00.5;+27 13 46;DN;SU;22.1; 0.086000;       ;       ;    ;      ;
J0459+7711  ;04 59 55.7;+77 11 18;DN;SU;20.8; 0.086000;       ;       ;    ;      ;
J0959-1601  ;09 59 26.5;-16 01 47;DN;SU;20.3; 0.086000;       ;       ;    ;      ;
J1047-6041  ;10 47 57.2;-60 41 23;DN;SU;22.7; 0.086000;       ;       ;    ;      ;
GQ CVn      ;12 43 12.1;+43 32 00;DN;SU;21.1; 0.086000;       ;       ;    ;      ;
J1556-0804  ;15 56 31.0;-08 04 40;DN;SU;19.9; 0.086000;       ;       ;    ;      ;
J2203+3056  ;22 03 28.2;+30 56 37;DN;SU;20.1; 0.086000;       ;       ;    ;      ;
DV UMa      ;09 46 36.7;+44 46 45;DN;SU;18.3; 0.085853;M4.5/5 ;       ;82.9; 1.100; 0.196
V452 Cas    ;00 52 18.1;+53 51 50;DN;SU;20.0; 0.085700;       ;       ;    ;      ;
V713 Cep    ;20 46 38.7;+60 38 04;DN;SU;18.0; 0.085418;       ;       ;    ;      ;
NGC 6656-CV2;18 36 02.7;-23 55 25;DN;SU;19.2; 0.085200;       ;       ;    ;      ;
J0841+2100  ;08 41 27.4;+21 00 54;DN;SU;20.6; 0.085000;       ;       ;    ;      ;
J1639+1224  ;16 39 42.7;+12 24 14;DN;SU;20.5; 0.085000;       ;       ;    ;      ;
J1805-2743  ;18 05 07.1;-27 43 09;DN;  ;17.6; 0.085000;       ;       ;    ;      ;
J2126+2019  ;21 26 25.1;+20 19 46;DN;SU;20.0; 0.085000;       ;       ;    ;      ;
J0519+1554  ;05 19 22.9;+15 54 35;DN;  ;19.4; 0.084900;       ;       ;    ;      ;
V1901 Aql   ;20 31 37.6;-00 05 12;NL;AM;    ; 0.084810;       ;       ;    ;      ;
J0328+0522  ;03 28 55.0;+05 22 54;NL;AM;18.0; 0.084700;       ;       ;    ;      ;
KK Tel      ;20 28 38.5;-52 18 45;DN;SU;19.2; 0.084500;       ;       ;    ;      ;
NSV 5285    ;11 39 50.6;+45 58 18;DN;SU;20.0; 0.084500;       ;       ;    ;      ;
J1417-1803  ;14 17 12.0;-18 03 28;DN;  ;19.7; 0.084500;       ;       ;    ;      ;
TY PsA      ;22 49 39.9;-27 06 54;DN;SU;15.9; 0.084230;       ;       ;    ;      ;
BF Ara      ;17 38 21.3;-47 10 41;DN;SU;16.0; 0.084180;       ;       ;    ;      ;
V516 Lyr    ;19 20 35.7;+37 44 52;DN;SU;20.5; 0.084000;       ;       ;    ;      ;
EF Peg      ;21 15 04.1;+14 03 49;DN;SU;18.5; 0.083700;M5/5   ;       ;    ; 0.650; 0.170
V2951 Oph   ;17 30 06.5;+03 38 20;NL;AM;16.5; 0.083478;M3/5   ;       ;    ;      ;
QU Aqr      ;21 00 14.1;+00 44 46;DN;SU;18.8; 0.083304;       ;       ;    ;      ;
V1007 Her   ;17 24 06.3;+41 14 09;NL;AM;17.6; 0.083284;       ;       ;78.0;      ;
QZ Ser      ;15 56 54.5;+21 07 20;DN;SU;15.7; 0.083161;K2-6   ;       ;    ;      ;
MT Com      ;12 55 10.7;+26 42 26;DN;ZZ;17.2; 0.083000;       ;       ;    ;      ;
J1748+5050  ;17 48 27.9;+50 50 40;DN;SU;19.9; 0.083000;       ;       ;    ;      ;
J1753-6417  ;17 53 51.3;-64 17 40;DN;SU;20.8; 0.083000;       ;       ;    ;      ;
J2320+4443  ;23 20 22.4;+44 43 31;DN;SU;21.0; 0.083000;       ;       ;    ;      ;
J2258-0949  ;22 58 31.2;-09 49 32;DN;SU;15.6; 0.082900;       ;       ;    ;      ;
BG Ari      ;01 51 51.9;+14 00 47;DN;SU;20.3; 0.082420;       ;       ;    ;      ;
HV Aur      ;04 53 16.8;+38 16 29;DN;SU;19.0; 0.082400;       ;       ;    ;      ;
V364 Peg    ;21 12 29.7;+12 32 04;DN;SU;19.0; 0.082200;       ;       ;    ;      ;
TU Crt      ;11 03 36.5;-21 37 46;DN;SU;17.5; 0.082090;       ;       ;    ;      ;
V369 Peg    ;23 03 41.8;+17 17 56;DN;SU;18.2; 0.082000;       ;       ;    ;      ;
J1013+4558  ;10 13 23.6;+45 58 59;DN;SU;18.5; 0.082000;       ;       ;    ;      ;
J1459+3548  ;14 59 21.8;+35 48 05;DN;SU;21.6; 0.082000;       ;       ;    ;      ;
J1652+4605  ;16 52 36.3;+46 05 15;DN;SU;22.1; 0.082000;       ;       ;    ;      ;
J1850+4044  ;18 50 50.6;+40 44 06;DN;SU;18.1; 0.082000;       ;       ;    ;      ;
RX Cha      ;10 36 26.3;-80 02 48;DN;SU;22.0; 0.081800;       ;       ;    ;      ;
KP Cas      ;00 38 54.8;+61 13 00;DN;SU;18.0; 0.081400;       ;       ;    ;      ;
V808 Aur    ;07 11 26.0;+44 04 05;NL;AM;14.4; 0.081377;       ;       ;81.5;      ;
V1974 Cyg   ;20 30 31.7;+52 37 51;Na;SH;16.9; 0.081260;       ;       ;    ;      ;
V1032 Oph   ;16 26 09.7;-03 53 25;DN;SU;18.0; 0.081056;       ;       ;    ;      ;
J1324-6512  ;13 24 01.6;-65 12 20;DN;SU;19.8; 0.081000;       ;       ;    ;      ;
J1940-4724  ;19 40 37.6;-47 24 49;DN;  ;17.0; 0.081000;       ;       ;    ;      ;
J2308-6559  ;23 08 57.8;-65 59 32;DN;SU;21.3; 0.081000;       ;       ;    ;      ;
J1040-6233  ;10 40 14.3;-62 33 18;DN;SU;22.1; 0.080919;       ;       ;    ;      ;
V877 Ara    ;17 16 53.9;-65 32 52;DN;SU;20.3; 0.080900;       ;       ;    ;      ;
J1504+0847  ;15 04 41.8;+08 47 53;DN;SU;19.1; 0.080900;       ;       ;    ;      ;
V1237 Her   ;17 00 53.3;+40 03 58;NL;AM;    ; 0.080802;       ;       ;    ;      ;
CP Dra      ;10 15 39.8;+73 26 05;DN;SU;20.0; 0.080800;       ;       ;    ;      ;
J0810+0024  ;08 10 30.6;+00 24 29;NL;AM;16.5; 0.080660;       ;       ;    ;      ;
AR UMa      ;11 15 44.7;+42 58 23;NL;AM;13.3; 0.080501;M5-6/5 ;       ;50.0;      ;
AR Pic      ;05 49 45.4;-49 21 56;DN;SU;16.5; 0.080220;       ;       ;    ;      ;
WW Hor      ;02 36 11.5;-52 19 14;NL;AM;17.6; 0.080199;M6/5  :;       ;84.0; 1.100; 0.190
J0912+6209  ;09 12 42.2;+62 09 40;DN;SU;18.8; 0.080100;       ;       ;    ;      ;
V493 Ser    ;15 56 44.3;-00 09 51;DN;SU;17.8; 0.080100;       ;       ;    ;      ;
J0008+7731  ;00 08 20.4;+77 31 19;DN;SU;20.8; 0.080000;       ;       ;    ;      ;
J0851+3444  ;08 51 13.4;+34 44 49;DN;SU;20.2; 0.080000;       ;       ;    ;      ;
J1026+1920  ;10 26 16.1;+19 20 45;DN;SU;20.1; 0.080000;       ;       ;    ;      ;
J1050+3328  ;10 50 26.0;+33 28 13;DN;SU;22.5; 0.080000;       ;       ;    ;      ;
J1444-1311  ;14 44 53.0;-13 11 18;DN;SU;20.3; 0.080000;       ;       ;    ;      ;
J1751+3521  ;17 51 30.2;+35 21 23;DN;SU;20.0; 0.080000;       ;       ;    ;      ;
J1817+6708  ;18 17 52.5;+67 08 08;DN;SU;    ; 0.080000;       ;       ;    ;      ;
J2022+5004  ;20 22 25.1;+50 04 57;DN;SU;20.3; 0.080000;       ;       ;    ;      ;
J2102+0258  ;21 02 05.7;+02 58 34;DN;SU;21.0; 0.080000;       ;       ;    ;      ;
J2216+7054  ;22 16 21.9;+70 54 16;DN;SU;20.6; 0.080000;       ;       ;    ;      ;
J2311+2040  ;23 11 42.8;+20 40 36;DN;SU;20.5; 0.080000;       ;       ;    ;      ;
AN UMa      ;11 04 25.7;+45 03 15;NL;AM;14.5; 0.079753;       ;       ;    ;      ;
J0000+3325  ;00 00 24.6;+33 25 43;DN;SU;20.8; 0.079700;       ;       ;    ;      ;
J0002+4242  ;00 02 22.3;+42 42 14;DN;SU;19.3; 0.079650;       ;       ;    ;      ;
EK UMa      ;10 51 35.2;+54 04 36;NL;AM;    ; 0.079544;       ;       ;56.0;      ;
RS Car      ;11 08 05.8;-61 56 09;N ;SH;18.5; 0.079500;       ;       ;    ;      ;
V728 CrA    ;17 59 16.5;-42 35 07;DN;SU;18.3; 0.079500;       ;       ;    ;      ;
BR Lup      ;15 35 53.1;-40 34 05;DN;SU;18.4; 0.079480;       ;       ;    ;      ;
AC LMi      ;10 19 47.3;+33 57 54;DN;  ;17.5; 0.079200;       ;       ;    ;      ;
J1821+2121  ;18 21 42.8;+21 21 54;DN;SU;20.3; 0.079200;       ;       ;    ;      ;
J0357+1029  ;03 57 58.6;+10 29 42;NL;AM;19.2; 0.079181;       ;       ;    ;      ;
ST LMi      ;11 05 39.8;+25 06 29;NL;AM;13.7; 0.079089;M6/5   ;       ;56.0; 0.760; 0.170
J0006-6900  ;00 06 33.4;-69 00 34;DN;  ;15.0; 0.079000;       ;       ;    ;      ;
J0045+5032  ;00 45 27.5;+50 32 16;DN;SU;19.7; 0.079000;       ;       ;    ;      ;
J0334-0710  ;03 34 49.9;-07 10 48;DN;SU;18.0; 0.079000;       ;       ;    ;      ;
J0946-0056  ;09 46 06.9;-00 56 01;DN;SU;20.4; 0.079000;       ;       ;    ;      ;
J1312-4218  ;13 12 13.5;-42 18 09;DN;SU;22.7; 0.079000;       ;       ;    ;      ;
J1736+0716  ;17 36 15.1;+07 16 56;DN;SU;22.5; 0.079000;       ;       ;    ;      ;
BL Hyi      ;01 41 00.3;-67 53 28;NL;AM;14.3; 0.078915;M5/5   ;       ;70.0;      ;
J1642+1347  ;16 42 48.5;+13 47 51;DN;  ;18.5; 0.078900;       ;       ;    ;      ;
V489 Ser    ;15 55 32.0;-00 10 55;DN;  ;19.3; 0.078850;       ;       ;    ;      ;
J0211+1716  ;02 11 10.2;+17 16 24;DN;SU;19.2; 0.078800;       ;       ;    ;      ;
MR Ser      ;15 52 47.2;+18 56 28;NL;AM;14.9; 0.078798;M8/5   ;       ;    ;      ;
NSV 14652   ;23 38 48.7;+28 19 55;DN;SU;18.0; 0.078700;       ;       ;    ;      ;
FR Lyn      ;08 54 14.0;+39 05 37;NL;AM;16.4; 0.078650;       ;       ;    ;      ;
AX For      ;02 19 28.0;-30 45 46;DN;SU;18.7; 0.078500;       ;       ;    ;      ;
V884 Her    ;18 02 06.5;+18 04 43;NL;AM;14.5; 0.078480;       ;       ;    ;      ;
V2301 Oph   ;18 00 35.6;+08 10 13;NL;AM;16.1; 0.078450;M6/5   ;       ;84.0;      ;
BZ Cir      ;14 54 15.2;-68 16 19;DN;SU;18.2; 0.078400;       ;       ;    ;      ;
V660 Her    ;17 42 09.2;+23 48 31;DN;SU;19.0; 0.078260;       ;       ;    ;      ;
J1039-6245  ;10 39 57.0;-62 45 18;DN;SU;18.0; 0.078218;       ;       ;    ;      ;
PV Per      ;02 42 53.5;+38 04 04;DN;SU;19.8; 0.078100;       ;       ;    ;      ;
CU Vel      ;08 58 32.9;-41 47 51;DN;SU;17.0; 0.078054;M5/5   ;       ;59.0; 1.230; 0.150
J0634+4120  ;06 34 38.0;+41 20 47;DN;SU;20.7; 0.078000;       ;       ;    ;      ;
J0800+1924  ;08 00 33.9;+19 24 16;DN;SU;20.1; 0.078000;       ;       ;    ;      ;
J1027-4343  ;10 27 05.8;-43 43 41;DN;SU;19.5; 0.078000;       ;       ;    ;      ;
V359 Cen    ;11 58 15.3;-41 46 10;N?;DN;18.7; 0.077900;       ;       ;    ;      ;
PU UMa      ;09 01 03.9;+48 09 11;DN;SU;18.7; 0.077881;       ;       ;    ;      ;
TY Vul      ;20 41 44.0;+25 35 11;DN;SU;19.0; 0.077800;       ;       ;    ;      ;
V503 Cyg    ;20 27 17.4;+43 41 23;DN;SU;17.0; 0.077759;M6     ;       ;    ;      ;
J1126-1002  ;11 26 34.0;-10 02 10;DN;  ;18.5; 0.077447;       ;       ;    ;      ;
DH Aql      ;19 26 10.8;-10 15 29;DN;SU;18.3; 0.077400;       ;       ;    ;      ;
J1244+3004  ;12 44 17.9;+30 04 01;DN;SU;20.5; 0.077400;       ;       ;    ;      ;
V1389 Tau   ;04 06 59.8;+00 52 44;DN;SU;18.4; 0.077300;       ;       ;    ;      ;
CD Ind      ;21 15 41.0;-58 40 54;NL;AM;16.0; 0.077006;       ;       ;    ;      ;
AB Nor      ;15 49 15.5;-43 04 49;DN;SU;18.7; 0.077000;       ;       ;    ;      ;
V344 Pav    ;19 16 09.7;-62 35 53;DN;SU;19.4; 0.077000;       ;       ;    ;      ;
J0021-5719  ;00 21 30.9;-57 19 22;DN;SU;17.8; 0.077000;       ;       ;    ;      ;
J0732+4130  ;07 32 08.1;+41 30 09;DN;SU;20.4; 0.077000;       ;       ;    ;      ;
J1052-0643  ;10 52 15.3;-06 43 26;DN;SU;20.1; 0.077000;       ;       ;    ;      ;
J1527+6327  ;15 27 55.1;+63 27 54;DN;SU;18.9; 0.077000;       ;       ;    ;      ;
J1926-6526  ;19 26 08.9;-65 26 21;DN;SU;17.7; 0.077000;       ;       ;    ;      ;
J2125-1026  ;21 25 21.8;-10 26 28;DN;SU;20.2; 0.077000;       ;       ;    ;      ;
J2343-5852  ;23 43 38.2;-58 52 47;DN;SU;19.6; 0.077000;       ;       ;    ;      ;
HS Vir      ;13 43 38.4;-08 14 03;DN;SU;15.5; 0.076900;       ;       ;    ;      ;
J0726+8332  ;07 26 37.2;+83 32 19;DN;SU;20.8; 0.076857;       ;       ;    ;      ;
J0254+2244  ;02 54 43.7;+22 44 02;DN;SU;19.7; 0.076819;       ;       ;    ;      ;
J0333+3321  ;03 33 56.9;+33 21 51;NL;AM;17.3; 0.076760;       ;       ;    ;      ;
HY Psc      ;23 03 51.7;+01 06 52;DN;SU;17.3; 0.076700;       ;       ;    ;      ;
V630 Cyg    ;21 34 59.2;+40 40 19;DN;SU;17.2; 0.076600;       ;       ;    ;      ;
J1730+6247  ;17 30 08.3;+62 47 55;DN;SU;15.9; 0.076600;       ;       ;    ;      ;
